,code,country,sri_score,fragile_state_score,year,population,sdg_index_score,1no_poverty,2no_hunger,3health_wellbeing,4quality_education,5gender_equality,6cleanwater_sanitation,7affordable_clean_energy,8work_economy_growth,9industry_innov_infrast,10reduced_inequalities,11cities_communities,12consumption_production,13climate,14life_below_water,15life_on_land,16peace_justice_stroninstitutions,17partnership_for_goals,tourism_score,global_score,global_rank,arrivals,revenue_dollars,gdp_dollars,percent_of_gdp,primary_energy_consumption_per_capita_kwh/person,annual_co2_emissions_per_capita)
0,ARE,United Arab Emirates,63.87499999999999,68.38235294117648,2019.0,9175963.0,68.83333333333333,99.66666666666667,64.7,85.53333333333335,95.5,69.89999999999999,57.93333333333334,69.16666666666667,65.43333333333334,81.76666666666667,100.0,83.66666666666667,49.36666666666667,9.8,72.53333333333333,56.4,73.7,34.800000000000004,70.76666666666667,67.03022875816994,37,19745000.0,14983900065.104166,315910000000.0,4.18962406507065,136910.31527777776,24.113671
1,AUT,Austria,78.25,79.83193277310924,2019.0,8860710.333333334,82.93333333333332,99.43333333333334,72.53333333333333,92.8,98.3,82.93333333333334,92.2,85.93333333333334,83.0,95.96666666666665,94.03333333333335,91.36666666666667,49.56666666666666,57.06666666666666,,73.6,91.23333333333333,67.03333333333335,85.73809523809524,80.33842203548086,11,23825235.29411765,19982240176.47059,397592105263.1579,5.036527378305599,48373.32215789474,8.265922868421052
2,CAN,Canada,78.49999999999999,84.15966386554622,2019.0,37276246.666666664,77.96666666666667,99.59999999999998,65.26666666666667,94.13333333333333,98.93333333333334,82.60000000000001,86.09999999999998,80.3,84.06666666666666,87.39999999999999,86.93333333333334,91.16666666666667,51.70000000000001,38.13333333333333,61.800000000000004,60.6,83.89999999999999,73.03333333333335,80.3047619047619,80.20877684407095,12,29377875.0,20998492263.157894,1556232105263.158,1.356676974869895,112214.08426315789,16.351894157894737
3,CHN,China,59.75,43.94957983193277,2019.0,1419378985.3333333,71.3,96.16666666666667,83.06666666666666,81.86666666666666,99.5,77.96666666666665,68.5,67.06666666666666,76.93333333333334,76.43333333333334,34.766666666666666,78.36666666666666,87.06666666666666,78.93333333333334,54.800000000000004,49.6,59.76666666666667,41.699999999999996,70.62380952380953,58.33319327731092,71,,43554309416.666664,9557775000000.0,0.5208518985882273,24148.215500000002,6.879240741666667
4,CZE,Czechia,69.75,68.25630252100841,2019.0,10535699.0,81.26666666666667,99.86666666666667,61.166666666666664,90.43333333333334,92.76666666666667,72.89999999999999,83.3,75.76666666666667,85.83333333333333,82.43333333333334,100.0,93.36666666666667,58.23333333333333,71.83333333333333,,92.7,82.06666666666666,57.93333333333334,85.66666666666667,73.09098972922503,26,27231875.0,7118441388.888889,198151111111.1111,3.66802266978455,47606.34677777778,10.90850975
5,DEU,Germany,78.75,80.63025210084034,2019.0,83020348.66666667,82.63333333333333,99.5,71.86666666666667,93.73333333333333,97.66666666666667,79.73333333333333,88.40000000000002,76.96666666666667,86.96666666666665,94.23333333333333,88.53333333333335,92.2,53.06666666666666,63.43333333333334,72.60000000000001,79.16666666666667,89.46666666666665,77.39999999999999,85.15238095238095,80.67119514472456,9,28694411.76470588,46445487611.111115,3461572777777.778,1.3459457664659065,46805.65522222222,9.915571833333333
6,DNK,Denmark,82.0,85.71428571428572,2019.0,5781383.333333333,84.8,99.23333333333333,70.83333333333333,95.33333333333333,98.43333333333334,86.3,90.33333333333333,87.13333333333333,86.93333333333334,96.66666666666667,98.26666666666667,92.2,37.266666666666666,60.199999999999996,74.76666666666667,92.8,93.86666666666667,81.13333333333333,88.10476190476192,84.17142857142856,4,26891235.29411765,8059334105.263158,321697894736.8421,2.503752263124134,38060.3877368421,7.782569757894737
7,ESP,Spain,72.625,64.47478991596638,2019.0,46971346.666666664,79.46666666666667,98.7,65.10000000000001,94.76666666666667,96.23333333333333,85.39999999999999,87.40000000000002,78.0,77.96666666666667,89.16666666666667,80.46666666666667,91.46666666666665,64.3,79.73333333333333,57.96666666666667,66.5,80.23333333333333,57.46666666666667,84.5095238095238,72.18881886087769,27,99926705.88235295,66550207000.0,1321116111111.111,4.8335905134793835,36468.53038888889,6.464623594444444
8,FRA,France,74.875,75.06302521008404,2019.0,64337791.666666664,81.33333333333333,99.7,71.93333333333334,93.23333333333335,99.63333333333333,87.39999999999999,89.3,78.56666666666666,84.36666666666666,91.53333333333335,86.86666666666667,90.76666666666667,58.833333333333336,73.8,64.23333333333333,68.39999999999999,76.16666666666667,68.26666666666667,85.5904761904762,77.09045284780579,15,194400352.94117647,60693538500.0,2572769444444.4443,2.365995613645683,46578.25944444445,5.785814544444444
9,GBR,United Kingdom,77.125,66.74369747899159,2019.0,66605720.333333336,81.06666666666666,98.96666666666665,67.89999999999999,93.63333333333333,98.96666666666665,82.60000000000001,94.40000000000002,74.56666666666666,82.56666666666666,91.23333333333333,69.63333333333334,93.43333333333334,54.20000000000001,70.60000000000001,75.26666666666667,86.2,82.86666666666666,61.666666666666664,82.23809523809524,74.97845471521943,20,32872176.470588237,52078041666.666664,2699111111111.1113,1.8838393521420889,38127.465055555556,7.539518172222222
