,code,sri_score,country,fragile_state_score,year,population,sdg_index_score,1no_poverty,2no_hunger,3health_wellbeing,4quality_education,5gender_equality,6cleanwater_sanitation,7affordable_clean_energy,8work_economy_growth,9industry_innov_infrast,10reduced_inequalities,11cities_communities,12consumption_production,13climate,14life_below_water,15life_on_land,16peace_justice_stroninstitutions,17partnership_for_goals,tourism_score_x,global_score,global_rank,tourism_score_y,global_score_2,global_rank_2
109,PHL,59.25,Philippines,33.19327731092437,2020.0,111287623.0,66.4,75.5,68.5,58.7,79.6,63.8,70.4,59.0,65.7,44.5,42.2,69.4,91.9,95.5,74.8,56.1,55.3,58.1,62.142857142857146,52.94775910364146,110,56.63265306122449,49.69197679071629,114
110,JOR,52.37500000000001,Jordan,36.47058823529412,2020.0,10817077.0,69.9,98.6,56.5,73.7,59.2,39.9,55.2,72.9,62.2,58.2,77.0,77.1,89.1,91.4,90.4,55.1,70.5,61.3,73.21428571428571,52.91519607843137,111,68.3455782312925,52.397055488862215,102
111,GAB,51.87500000000001,Gabon,44.78991596638655,2020.0,2267995.0,62.0,88.8,51.4,48.7,60.4,44.2,61.4,85.1,65.3,34.7,61.8,48.2,83.6,89.8,65.8,82.9,39.6,43.1,61.94285714285714,52.88830532212885,112,53.24761904761905,49.97084500466854,112
112,TJK,50.125,Tajikistan,37.81512605042017,2020.0,9442817.0,69.3,76.2,64.5,67.5,73.5,56.3,59.5,86.6,78.0,16.4,76.4,79.7,93.9,97.3,,61.0,69.3,51.9,71.7,52.41337535014005,113,67.59455782312925,51.84489462451646,107
113,BHR,51.0,Bahrain,44.87394957983194,2020.0,1494033.0,61.0,,66.3,86.8,85.2,51.9,67.9,71.4,81.7,59.2,,65.7,67.4,14.6,47.9,46.0,64.3,38.5,63.23333333333333,52.29131652661064,114,60.14523809523809,52.006395891690005,104
114,STP,,Sao Tome and Principe,41.68067226890756,2020.0,216222.0,61.7,47.5,60.3,64.6,55.2,51.2,51.4,38.8,48.7,27.1,48.3,71.1,95.8,98.6,79.8,81.1,78.5,51.3,56.74285714285715,51.69033613445378,115,57.244897959183675,49.462785114045616,115
115,SEN,53.37499999999999,Senegal,40.25210084033614,2020.0,16215467.0,60.7,60.1,61.6,57.8,28.6,43.9,64.8,41.1,76.1,31.5,60.3,60.3,95.2,97.6,68.4,67.4,58.0,59.6,60.67142857142858,51.44236694677871,116,53.811564625850345,49.14622182206216,116
116,NPL,53.0,Nepal,33.109243697478995,2020.0,28999227.0,66.3,76.8,64.1,59.5,91.8,50.3,70.8,48.5,66.4,33.3,80.2,46.2,96.5,97.7,,68.9,56.4,53.1,61.685714285714276,50.80308123249299,117,52.89931972789115,46.336187808456714,127
117,IND,52.0,India,37.563025210084035,2020.0,1389966387.0,62.6,76.9,53.8,64.3,82.9,45.8,58.1,66.2,72.5,49.7,38.5,52.1,94.8,94.7,62.2,46.0,52.7,52.8,62.57142857142857,50.721008403361346,118,54.34149659863946,47.968173936241165,119
118,HND,53.99999999999999,Honduras,34.705882352941174,2020.0,10041790.0,62.7,64.3,53.7,70.5,64.2,63.8,72.4,60.7,66.7,27.1,20.8,82.2,89.3,95.9,62.5,65.0,43.5,63.1,60.55714285714286,50.468627450980385,119,55.58571428571428,48.09719887955182,118
119,NIC,50.125,Nicaragua,35.54621848739496,2020.0,6709705.0,64.4,66.5,54.4,75.6,78.0,82.0,66.3,59.7,67.9,27.6,23.7,73.2,87.1,97.1,62.0,61.6,54.1,58.0,60.685714285714276,50.02373949579832,120,55.972789115646265,47.21466920101374,123
120,PSE,49.75,,,,,,,,,,,,,,,,,,,,,,,,49.75,121,,49.75,113
121,IRN,50.125,Iran,30.168067226890763,2020.0,86990162.0,68.9,93.1,64.1,80.4,82.7,42.6,60.2,64.3,63.9,63.6,48.5,75.6,85.8,80.6,79.8,67.8,61.0,57.7,68.12857142857142,49.73102240896359,122,60.22380952380953,46.838958916900104,124
122,LAO,46.75,Laos,37.39495798319328,2020.0,7265653.0,62.6,63.1,64.6,54.5,69.2,70.8,69.2,57.6,70.9,28.8,57.4,76.8,93.0,92.5,,46.5,44.1,42.5,62.642857142857146,48.91498599439776,123,58.977551020408164,47.70750300120048,120
123,EGY,46.49999999999999,Egypt,30.588235294117652,2020.0,106538719.0,69.2,83.6,65.1,69.9,66.4,57.4,65.1,69.9,65.8,57.1,83.9,67.3,91.1,95.2,51.4,68.6,60.7,57.9,72.72857142857143,48.762745098039225,124,67.96530612244898,48.35118047218888,117
124,GTM,50.37500000000001,Guatemala,35.714285714285715,2020.0,17231172.0,59.4,73.1,43.3,69.1,71.8,49.7,69.0,58.1,70.6,22.6,20.7,77.7,90.0,96.1,56.1,43.7,47.6,49.9,59.271428571428565,48.496428571428574,125,55.68163265306122,47.25697278911565,122
125,TZA,52.37500000000001,Tanzania,35.12605042016806,2020.0,60771966.0,56.9,24.1,61.9,47.0,47.6,70.2,51.7,34.3,71.8,25.3,50.4,63.9,95.2,99.1,69.9,60.0,46.6,48.8,55.97142857142857,48.13368347338936,126,50.470068027210885,45.99037281579299,128
126,KHM,48.24999999999999,Cambodia,33.19327731092437,2020.0,16296280.0,62.9,,68.3,62.2,66.5,55.4,62.9,57.3,60.7,33.8,,72.7,93.3,95.1,59.8,49.2,52.6,53.0,63.633333333333326,48.114425770308124,127,52.721428571428575,44.721568627450985,133
127,GMB,51.25,Gambia,34.78991596638656,2020.0,2541049.0,58.1,53.6,47.3,50.2,49.8,42.6,59.9,30.4,66.5,24.4,69.1,59.8,96.2,99.0,63.8,85.5,48.7,40.9,57.05714285714286,48.04663865546218,128,49.21088435374149,45.083600106709355,130
128,BGD,49.75000000000001,Bangladesh,29.831932773109244,2020.0,166426993.0,63.9,69.8,70.1,63.4,69.0,54.1,67.3,49.7,73.6,37.9,81.3,50.1,95.6,96.3,65.2,54.4,47.6,41.5,64.61428571428571,47.827310924369755,129,57.15850340136054,45.580145391489935,129
129,BEN,48.75,Benin,39.91596638655462,2020.0,12466819.0,54.4,47.1,65.1,41.7,52.3,33.6,49.4,11.8,74.6,23.5,62.0,47.2,96.9,97.9,60.0,65.4,48.6,47.5,51.24285714285715,47.688655462184876,130,45.84421768707483,44.836728024543156,131
130,LSO,50.87499999999999,Lesotho,35.798319327731086,2020.0,2239604.0,54.1,35.1,48.6,23.8,49.9,74.6,49.7,26.2,46.0,25.1,27.5,71.9,98.6,97.6,,74.2,48.1,68.5,45.44285714285714,46.924439775910365,131,37.948299319727894,41.54053954915299,144
131,LBN,48.625,Lebanon,24.117647058823533,2020.0,5694522.0,68.0,98.8,52.4,74.7,99.6,44.5,66.3,61.9,58.7,69.8,84.4,69.0,81.6,87.0,65.7,57.2,56.4,28.8,72.21428571428571,46.91421568627451,132,66.4108843537415,46.38451047085501,126
