Country;Food / Nutrition;Education Outcomes;Health;Wealth;Individual Capabilities/Resources
Somalia;3,2;3,4;2,2;1,0;2,4
South Africa;6,5;7,8;5,2;3,5;5,7
South Sudan;4,3;2,0;2,5;1,4;2,5
Spain;9,0;8,8;9,4;6,5;8,4
Sri Lanka;6,8;8,2;7,9;5,9;7,2
Sudan;4,9;3,4;4,4;3,3;4,0
Sweden;9,2;9,5;9,3;7,8;9,0
Switzerland;9,4;9,5;9,5;8,7;9,3
Syria;4,7;4,5;6,7;3,2;4,8
Tajikistan;5,2;8,1;6,0;5,0;6,1
Tanzania;4,6;5,4;4,9;4,0;4,7
Thailand;7,6;7,6;8,4;6,0;7,4
Timor-Leste;6,1;5,2;5,6;4,6;5,4
Togo;3,9;4,5;3,6;2,9;3,7
Trinidad and Tobago;8,5;8,4;6,9;4,5;7,1
Tunisia;7,2;6,5;7,7;5,7;6,8
Turkey;8,3;7,8;7,7;5,9;7,4
Turkmenistan;7,7;7,7;5,9;3,8;6,3
Uganda;4,3;5,4;4,5;3,9;4,5
Ukraine;8,0;9,0;7,0;6,4;7,6
United Arab Emirates;8,2;8,7;7,6;6,5;7,8
United Kingdom;9,4;9,7;9,0;7,1;8,8
United States;9,6;9,5;8,3;7,2;8,7
Uruguay;8,4;8,5;8,4;5,9;7,8
Uzbekistan;7,4;8,3;6,9;4,1;6,7
Venezuela;5,6;8,1;7,0;4,1;6,2
Vietnam;7,7;7,5;7,6;5,5;7,1
Palestine;;7,8;6,8;4,2;6,3
Yemen;1,6;2,7;4,7;4,0;3,2
Zambia;3,9;6,2;4,7;2,3;4,3
Zimbabwe;6,3;7,0;4,6;4,2;5,5
