country,units,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
JAPAN,thousands,6 138,6 728,7 334,8 347,8 351,6 790,8 611,6 219,8 358,10 364,13 413,19 737,24 039,28 691,31 192,31 882,4 116,246,3 832
JORDAN,thousands,5 587,5 817,6 573,6 529,7 100,7 085,8 078,6 813,6 314,5 389,5 327,4 809,4 236,4 565,4 922,5 361,1 240,2 359,5 049
KAZAKHSTAN,thousands,4 291,4 365,4 707,5 311,4 117,3 774,4 097,5 685,6 163,6 841,6 333,6 430,6 509,7 701,8 789,8 515,2 035,1 330,4 729
KENYA,thousands,1 361,1 479,1 601,1 817,1 203,1 490,1 609,1 823,1 711,1 520,1 350,1 181,1 340,1 449,2 025,2 049,568,870,1 484
"KOREA, REPUBLIC OF",thousands,5 818,6 023,6 155,6 448,6 891,7 818,8 798,9 795,11 140,12 176,14 202,13 232,17 242,13 336,15 347,17 503,2 519,967,3 198
KYRGYZSTAN,thousands,398,319,766,1 656,2 379,2 451,1 224,3 025,3 393,4 134,3 791,4 000,3 853,4 568,6 947,8 508,2 079,3 169,6 901
"MACAO, CHINA",thousands,16 673,18 711,21 998,27 003,22 933,21 753,24 965,28 002,28 082,29 325,31 526,30 715,30 950,32 611,35 804,39 406,5 897,7 706,5 700
MALTA,thousands,1 428,1 484,1 521,1 723,1 832,1 608,1 815,1 916,2 007,2 013,2 162,2 383,2 592,2 944,3 232,3 519,718,1 110,2 776
MARTINIQUE,thousands,630,577,599,573,568,511,553,538,603,622,696,762,842,1 003,1 002,919,524,312,661
MAURITIUS,thousands,739,782,807,933,970,890,956,983,984,1 015,1 065,1 174,1 307,1 371,1 431,1 418,316,180,1 003
MEXICO,thousands,99 250,103 146,97 701,93 582,92 948,88 044,81 953,75 732,76 749,78 100,81 042,87 129,94 853,99 349,96 497,97 406,51 128,55 301,65 995
MONGOLIA,thousands,305,345,408,455,469,465,557,627,624,515,506,467,471,543,598,637,67,39,301
