,country,units,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
386,TAJIKISTAN,Thousands,..,..,..,..,325,207,160,183,244,208,213,414,344,431,1 035,1 257,351,296,..
388,"TANZANIA, UNITED REPUBLIC OF",Thousands,583,613,644,719,770,714,783,868,1 077,1 096,1 140,1 137,1 284,1 327,1 506,1 527,621,1 027,..
390,THAILAND,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
392,TIMOR-LESTE,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
394,TOGO,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
396,TONGA,Thousands,51,60,54,65,65,75,65,68,57,60,66,73,87,87,77,94,12,0,22
398,TRINIDAD AND TOBAGO,Thousands,501,529,534,531,482,534,490,491,504,467,459,522,498,470,508,482,141,41,253
400,TUNISIA,Thousands,6 419,6 975,7 176,7 512,7 750,8 507,8 640,6 038,..,..,..,..,..,..,..,..,..,..,..
402,TÜRKIYE,Thousands,17 517,21 125,19 820,27 215,31 138,31 760,32 997,36 769,37 715,39 861,41 627,41 114,30 907,37 970,46 113,51 747,15 971,30 039,51 388
404,TURKMENISTAN,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
406,TURKS AND CAICOS ISLANDS,Thousands,..,..,..,..,757,865,899,1 010,968,1 069,1 330,1 316,1 296,1 243,1 463,1 599,370,432,..
408,TUVALU,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
410,UGANDA,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
412,UKRAINE,Thousands,18 583,20 489,21 714,26 162,28 827,24 033,24 114,24 535,25 061,26 025,13 227,13 025,13 734,14 579,14 342,13 710,3 382,4 272,2 307
414,UNITED ARAB EMIRATES,Thousands,..,..,..,..,..,..,..,..,..,..,..,19 313,20 894,21 805,23 092,25 282,8 084,12 784,..
416,UNITED KINGDOM,Thousands,27 755,29 970,32 713,32 778,31 888,31 072,30 398,31 886,32 221,33 567,35 337,36 792,39 129,41 080,40 283,40 857,11 101,6 384,31 244
418,UNITED STATES OF AMERICA,Thousands,67 606,71 484,183 178,175 299,175 703,160 508,162 275,147 271,171 630,179 310,178 311,176 865,175 261,174 292,169 325,165 478,44 792,66 594,..
420,UNITED STATES VIRGIN ISLANDS,Thousands,2 620,2 602,2 571,2 606,2 435,2 245,2 531,2 686,2 640,2 702,2 814,2 643,2 574,1 954,1 922,2 074,862,1 072,..
422,URUGUAY,Thousands,1 871,1 917,1 824,1 815,2 255,2 303,2 708,3 244,3 155,3 242,3 195,3 286,3 632,4 219,3 954,3 480,..,234,..
424,UZBEKISTAN,Thousands,262,242,560,903,1 069,1 215,975,1 393,1 895,1 969,1 862,1 918,2 027,2 690,5 346,6 749,1 504,1 881,5 233
426,VANUATU,Thousands,99,126,154,167,197,226,238,249,321,357,329,287,352,333,350,256,82,..,65
428,"VENEZUELA, BOLIVARIAN REPUBLIC OF",Thousands,618,846,883,898,702,567,535,625,1 061,1 085,967,882,681,429,..,..,..,..,..
430,VIET NAM,Thousands,2 928,3 477,3 583,4 229,4 236,3 747,5 050,6 014,6 848,7 572,7 874,7 944,10 013,12 922,15 498,18 009,3 837,157,3 661
432,YEMEN,Thousands,..,..,..,..,..,..,1 035,1 175,1 282,1 323,1 218,398,..,..,..,..,..,..,..
434,ZAMBIA,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
436,ZIMBABWE,Thousands,1 854,1 559,2 287,2 506,1 956,2 017,2 239,2 423,1 794,1 833,1 880,2 057,2 168,2 423,2 580,2 294,639,381,1 044
