,country,units,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
88,COSTA RICA,Thousands,1 771,1 959,2 071,2 302,2 409,2 309,2 495,2 526,2 542,2 641,2 760,2 899,3 204,3 231,3 313,3 378,1 147,1 376,2 497
90,COTE D´IVOIRE,Thousands,..,..,..,182,205,231,252,270,289,380,471,1 441,1 583,1 800,1 965,2 070,668,576,2 047
92,CROATIA,Thousands,44 974,45 762,47 733,52 271,51 336,47 573,49 006,49 969,47 185,48 345,51 168,55 858,57 587,59 238,57 668,60 021,21 608,34 123,50 023
94,CUBA,Thousands,2 049,2 319,2 221,2 152,2 348,2 430,2 532,2 716,2 847,2 862,3 014,3 540,4 009,4 654,4 712,4 276,1 086,356,1 614
96,CURAÇAO,Thousands,452,510,572,664,773,808,762,837,908,1 071,1 129,1 072,944,1 058,1 210,1 293,436,418,1 034
98,CYPRUS,Thousands,2 478,2 657,2 629,2 671,2 631,2 370,2 450,2 626,2 635,2 626,2 558,2 780,3 286,3 750,4 024,4 117,..,..,..
100,CZECH REPUBLIC (CZECHIA),Thousands,23 808,24 747,25 102,22 625,21 850,23 285,21 941,22 810,25 750,26 332,27 166,29 604,32 519,34 701,36 268,37 202,10 267,10 014,..
102,DENMARK,Thousands,22 054,26 927,26 936,27 138,26 870,26 571,26 730,25 811,26 402,26 516,28 070,28 209,28 692,30 736,30 801,32 065,16 031,18 372,31 530
104,DJIBOUTI,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
106,DOMINICA,Thousands,466,381,465,437,468,608,595,418,348,311,370,358,356,230,199,322,140,66,235
108,DOMINICAN REPUBLIC,Thousands,3 907,3 981,4 268,4 365,4 455,4 489,4 478,4 654,4 901,5 114,5 576,6 129,6 769,7 296,7 551,7 550,2 748,5 327,8 489
110,ECUADOR,Thousands,819,860,841,937,1 005,968,1 047,1 141,1 272,1 364,1 695,1 676,1 569,1 806,2 535,2 108,507,669,1 265
112,EGYPT,Thousands,8 104,8 608,9 083,11 091,12 835,12 536,14 731,9 845,11 532,9 464,9 878,9 328,5 399,8 292,11 346,13 026,3 677,7 998,11 724
114,EL SALVADOR,Thousands,1 030,1 306,1 501,1 720,1 875,1 482,1 606,1 634,1 738,1 822,1 886,1 973,2 052,2 247,2 536,2 639,707,1 436,2 541
116,EQUATORIAL GUINEA,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
118,ERITREA,Thousands,87,83,78,81,70,79,84,107,129,141,119,114,142,..,..,..,..,..,..
120,ESTONIA,Thousands,..,..,..,..,3 828,3 834,4 369,4 907,5 007,5 737,5 804,5 696,5 942,6 145,6 033,6 103,1 695,1 310,3 497
122,ESWATINI,Thousands,..,1 182,1 200,1 230,1 186,1 344,1 343,1 328,1 278,1 299,1 325,1 256,1 279,1 343,1 277,1 226,345,211,503
124,ETHIOPIA,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
