countrie;del;total_arrivals;del1;del2;Units;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
;;;;of which, cruise passengers;Thousands;3 360;3 079;3 079;2 971;2 861;3 256;3 810;4 161;4 434;4 709;4 805;4 513;4 690;4 626;4 878;5 433;1 327;1 115;5 390
BAHRAIN;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;5 667;6 313;7 289;7 833;8 631;8 861;11 952;6 732;8 062;9 163;10 452;9 670;10 158;11 374;12 045;11 061;1 909;3 612;9 949
;;;Overnights visitors (tourists);;Thousands;3 514;3 914;4 519;4 935;..;..;..;..;..;..;..;3 964;3 990;4 373;4 366;3 849;827;2 182;3 712
;;;Same-day visitors (excursionists);;Thousands;2 153;2 399;2 770;2 898;..;..;..;..;..;..;..;5 706;6 168;7 001;7 678;7 212;1 082;1 430;6 237
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;40;56;69;81;134;51;7;33
BANGLADESH;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;271;208;200;289;467;267;139;157;160;104;134;126;182;237;267;323;182;135;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
BARBADOS;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;1 273;1 111;1 102;1 191;1 165;1 154;1 197;1 187;1 053;1 079;1 079;1 179;1 227;1 345;1 356;966;546;242;898
;;;Overnights visitors (tourists);;Thousands;552;548;563;575;568;519;532;568;536;509;521;592;632;664;680;523;207;145;540
;;;Same-day visitors (excursionists);;Thousands;721;563;539;616;597;635;665;619;517;570;558;587;595;681;676;443;338;97;358
;;;;of which, cruise passengers;Thousands;721;563;539;616;597;635;665;619;517;570;558;587;595;681;676;443;338;97;358
BELARUS;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;1 816;4 738;5 276;5 283;5 262;4 872;5 674;5 877;6 130;6 242;5 375;4 386;10 935;11 060;11 502;11 832;3 598;3 361;4 920
;;;Overnights visitors (tourists);;Thousands;239;253;292;368;477;512;677;783;993;1 003;1 080;966;1 929;2 000;2 142;2 206;577;787;1 492
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;175;96;136;198;228;47;27;82
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
BELGIUM;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;6 710;6 747;6 995;7 045;7 165;6 815;7 186;7 494;7 560;7 684;7 887;8 355;7 481;8 385;9 119;9 343;2 584;3 243;8 220
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
BELIZE;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;1 329;1 037;903;880;846;941;1 054;1 106;1 028;1 022;1 289;1 299;1 391;1 441;1 697;1 674;487;437;..
;;;Overnights visitors (tourists);;Thousands;231;237;247;251;245;232;242;250;277;294;321;341;386;427;489;503;144;219;373
